"","ve.new.trial","prior.info","n_trials","ave_pop"
"1",0,"N(0,3.32)",2500,5976.19047619048
"2",0,"N(u1,tau); tau~U(0,2)",2500,5976.19047619048
"3",0,"N(u1,tau2); tau2~IG(0.01,0.01)",2500,5962.13017751479
"4",44.4,"N(0,3.32)",2500,3845.40727902946
"5",44.4,"N(u1,tau); tau~U(0,2)",2500,3383.00180831826
"6",44.4,"N(u1,tau2); tau2~IG(0.01,0.01)",2500,3234.78260869565
"7",90,"N(0,3.32)",2500,1224
"8",90,"N(u1,tau); tau~U(0,2)",2500,1204.8
"9",90,"N(u1,tau2); tau2~IG(0.01,0.01)",2500,1202.4
